Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
104253615152700,America First Legal,America First Legal Foundation,178690,287
108547455113940,Our America,Our America,178271,462
209516845093,NRDC Action Fund,NRDC Action Fund,173184,127
49651563727,Live Action,Live Action,169658,695
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,164348,834
23875187730,Feeding America,Feeding America,164192,145
103807629149771,Working Forests Initiative,"WORKING FOREST INITIATIVE, INC.",162031,36
72931140459,Center for Biological Diversity,"CENTER FOR BIOLOGICAL DIVERSITY, INC.",161651,63
104760636770,Vera Institute of Justice,Vera Institute of Justice,159702,196
109092142462587,Adam Schiff,SCHIFF FOR SENATE,159493,704
115883428109930,Final Expense Benefits,These ads ran without a disclaimer,159069,169
113496178208014,Protecting Our Democracy,Protecting Our Democracy,157841,42
104623832132932,Perry Johnson,PERRY JOHNSON FOR PRESIDENT INC.,155186,428
122432537796726,Pharmaceutical Care Management Association (PCMA),PHARMACEUTICAL CARE MANAGEMENT ASSOCIATION,152583,221
203805062990264,Ben Shapiro,The Daily Wire,152321,128
199504650087085,United,"UNITED AIRLINES, INC.",148117,12
84177291169,"Dairy Farmers of America, Inc.",DAIRY FARMERS OF AMERICA INC,146702,102
97279934919,bp America,BP CORPORATION NORTH AMERICA INC.,143927,81
215653202574079,Future Majority,"Future Majority, Inc",143401,426
161183970656851,Ruben Gallego,GALLEGO FOR ARIZONA,143192,537
19554217292,American Heart Association: You're the Cure,American Heart Association,139749,13
442159053368561,Women Speak Out PAC,Women Speak Out PAC,137545,7
38235851310,USA for UNHCR,UNITED STATES ASSOCIATION FOR UNHCR,137354,976
159658557547960,Wall Street Journal Opinion,The Wall Street Journal,135871,109
114646533630729,yes. every kid.,"yes. every kid, Inc.",135465,53
102310491882678,Smart Daily Digest,Smart Daily Digest LLC,134401,146
7192716362,Amnesty International USA,"AMNESTY INTERNATIONAL OF THE U. S. A., INC.",134365,779
105070129182164,The Wisconsin Independent,American Independent Media,134081,5
121626482110,Operation Smile,OPERATION SMILE,133834,203
110309778601827,Parents for Family Freedom in our Hometown,PURPOSE CAMPAIGNS LLC,133350,970
1747038068858379,Las Madrinas de los Seguros,"Living Secure Insurance Advisors, Inc.",131475,123
100768036281308,Right Our Story,Right Our Story,131005,24
200480966638039,Supremacy 1914,These ads ran without a disclaimer,130584,3
120945717945722,Uber,Uber,130484,102
101759546135941,Parents for Family Freedom in our Community,PURPOSE CAMPAIGNS LLC,130142,532
100249953038234,Capital Access Alliance,Capital Access Alliance,129313,689
38471053686,Elizabeth Warren,"WARREN FOR SENATE, INC.",129281,815
68570165885,Save Our Water,California Department of Water Resources,125884,65
100675819338322,California Final Expense Programs,Final Expense Authority LLC,124694,643
103375628943529,Adam Frisch,Adam for Colorado,124073,81
201470373308396,BMO US,BMO Harris Bank,123923,16
103715861368344,McCormick & Company,MCCORMICK & COMPANY INC,123425,58
103912059097010,One Real American,One Real American,123095,39
19972147679,SEIU,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),122493,82
897994503631860,HealthInsurance.net,ASSURANCE IQ INC,122335,180
570953166908066,Vivek Ramaswamy,VIVEK 2024,122198,303
182997028419749,Florida Education Association (FEA),Florida Education Association,120423,37
100652668612020,Essential Plastics Coalition,"CENTER FOR CONSUMER FREEDOM, THE",120294,34
750121728449001,Rebuild SoCal,Rebuild SoCal Partnership,118733,146
22067606728,Allen West,The Association of Mature American Citizens Inc,116575,20
19972147679,SEIU,SEIU,116049,105
25852730092,Care2,"Care2.com, Inc",116020,267
104295601633638,American Cornerstone Institute,American Cornerstone Institute Inc,113454,762
25121889784,Texas Public Policy Foundation,Texas Public Policy Foundation,113227,903
6266829799,Sherrod Brown,FRIENDS OF SHERROD BROWN,111951,162
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,111741,451
100454874847928,Texas Federation for Children,American Federation for Children,110916,345
8325302025,Friends of the Earth U.S.,Friends of the Earth,109006,123
70874333603,CatholicVote,catholicvote.org,108620,168
925007000949719,ExxonMobil,EXXON MOBIL CORPORATION,107344,421
21090771700,Gun Owners of America,Gun Owners of America,106167,90
487571108071357,Affordable Healthcare Coalition of NC,Affordable Healthcare Coalition of NC,105318,103
102540204580217,UpNorthNews,"Courier Newsroom, Inc.",105049,34
408526523045391,Mammoth Nation,Mammoth Nation,103910,5
333710103706307,GIFFORDS,Giffords,103489,104
1505244559517282,Colin Allred,Colin Allred,103248,272
15239367801,The Wilderness Society,"WILDERNESS SOCIETY, THE",102347,362
13885075114,Action Against Hunger USA,ACTION AGAINST HUNGER - USA,102203,202
109179375151983,Med Plan Coverage,Seniors Today USA,102095,604
103478796015358,Neverbackdown,NEVER BACK DOWN INC.,100528,172
61492859575,Americares,"Americares Foundation, Inc.",100472,645
131730790498,Take Down Tobacco,Campaign for Tobacco-Free Kids,100000,23
103885799225717,Liberty Protector,Liberty Protector,98460,244
156514087702491,Lancôme,L OREAL USA,98174,4
18813753280,Human Rights Campaign,"HUMAN RIGHTS CAMPAIGN, INC.",96792,209
100104419147228,Do Good Chicken,DO GOOD FOODS LLC,96650,279
228672924002349,Californians for Energy Independence,Californians for Energy Independence,96530,206
103175021296846,Save Our Planet,Sahak Nalbandyan,96496,81
103481651030324,Great Lakes. Michigan Jobs.,Great Lakes. Michigan Jobs.,96197,19
111106258469664,Sexual Abuse Claim Center,Tort Group LLC,95716,24
216311481960,Bill Gates,Bill Gates,95670,313
104673218071670,Vote Early 2023,TECH FOR CAMPAIGNS,94155,501
107581521979054,Help For Our Seniors,Help For Our Seniors,93731,707
19437978960,Chris Murphy,FRIENDS OF CHRIS MURPHY,93685,254
200650357207240,I Love My Freedom,I Love My Freedom,93288,526
103496691094956,Freespoke,"FREEDOM FRIES, LLC",93183,112
104760636770,Vera Institute of Justice,"VERA INSTITUTE OF JUSTICE, INC.",92579,46
151724258198295,Dan Newlin,Dan Newlin Injury Attorneys,92196,11
534754226586678,DoorDash,"DOORDASH, INC.",89301,1
278478315828826,CNN Original Series,CNN Original Series,89286,10
372922692828,SEIU-United Healthcare Workers West,SEIU United Healthcare Workers West Local 2005,89054,136
101431588985210,Home Program,FL Green Development LLC,88885,15
372577693078008,"Saenz-Garcia Law, PLLC","Saenz-Garcia Law, PLLC",88436,81
555787351119974,Coalition to Protect America's Health Care,Coalition to Protect America’s Health Care,86761,64
5720973755,Defenders of Wildlife,DEFENDERS OF WILDLIFE,86688,75
1424003277893336,Allan Domb,Allan Domb for Philadelphia,86417,73
147126507164,ACTwireless,ACTwireless,85796,129
1958912674200535,The Pour Over,Pour Over,85265,43
55804331295,Texas Association of Business,TEXAS ASSOCIATION OF BUSINESS,84275,41
101769576791,Health Action Network,Health Action Network,84114,335
103315464587143,All Access,LEADN LLC,83350,94
665345483483486,NRA - National Rifle Association of America,NATIONAL RIFLE ASSN OF AMERICA,83120,156
101497941620428,MolinaCares,The MolinaCares Accord,82381,164
100992801635617,Conservative-American.org,Conservative American Strategies,82198,11
243184199040637,Caring Across Generations,Caring Across Generations,82154,1070
1226854550711523,Get Biofuel,Get Biofuel,81775,183
702582586516561,CBN Israel,The Christian Broadcasting Network,81540,95
100801038449520,Natural Allies for a Clean Energy Future,"Natural Allies, Inc.",81511,325
103355385129734,The Climate Pledge,The Climate Pledge,80992,91
110160447914432,Stop AB 1228,NO on AB 1228 – Stop the Attack on Local Restaurants,80065,187
187005858017014,Climate Power,Climate Power,79364,28
1155212867963791,AFP Action,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)",79165,388
406172906126100,Tennessee Federation for Children,American Federation for Children,79132,69
425677887526239,NYSERDA,NYSERDA,78937,126
106368962201094,My Healthcare Options,"ZAN Media, Inc.",78570,1615
100403528653081,Punchbowl News,Punchbowl News,78496,87
1413858742171052,Melinda French Gates,Melinda French Gates,77173,71
7735858972,Humane Society Legislative Fund,Humane Society Legislative Fund,77002,379
110681028630187,Gov. Kathy Hochul: Fighting for New York,American Opportunity,76959,48
106706452361834,Mike Johnston: Detailed Plans for Denver,Advancing Denver,76827,90
1668829900099443,Hospitality is Working,Hospitality is Working,76553,158
106608038931801,Loyal Patriots,Loyal Patriots,76425,335
8501031021,VoteVets.org,VOTEVETS,76338,115
