Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
505851236146723,Bearbulltraders,These ads ran without a disclaimer,109,14
105650752324745,Granville Common Sense Coalition,Granville Common Sense Coalition,109,1
108660385319253,Heatmap News,These ads ran without a disclaimer,109,6
107346541944502,Solar Without A Salesman,These ads ran without a disclaimer,109,14
1272494542840990,Livestly,These ads ran without a disclaimer,109,1
232964433456768,Minnesota Department of Commerce,These ads ran without a disclaimer,109,3
108632725501088,Star-M Study,These ads ran without a disclaimer,109,1
102889275590126,Cybersecurity Girl,These ads ran without a disclaimer,109,2
111829490992955,Chiquita Jackson Enterprise,Chiquita Jackson Enterprise,109,4
125644364175253,Dyckman Farmhouse Museum,These ads ran without a disclaimer,109,4
115238678205651,Savvy Neighbor,These ads ran without a disclaimer,108,18
14893558501,Prevent Child Abuse America,Prevent Child Abuse America,108,3
105847949124690,Ask AI - Chat App powered by GPT-4,These ads ran without a disclaimer,108,5
104621899169071,Louisiana Trade & Commerce,Louisiana Trade & Commerce,108,17
563170183888903,Betty Griffin Center Thrift Shoppe,SAFETY SHELTER OF ST JOHNS COUNTY INC,108,8
1619846278287279,Progressive Democrats of Guam,Julian Christopher Janssen,108,4
78406706326,Munchkin,These ads ran without a disclaimer,108,1
104777758455039,Sirisbuy.shop,These ads ran without a disclaimer,108,9
2392327931036570,BRIGHTMARK,These ads ran without a disclaimer,108,1
160669007321004,H-Town Dream  Center,EAST TEXAS DREAM CENTER,108,4
101642140171339,Ryan Fournier,Ryan Fournier,108,2
112164951042,The Fletcher School at Tufts University,These ads ran without a disclaimer,107,2
119470627756531,Travel Specials,These ads ran without a disclaimer,107,1
912821032062410,Worthington Councilman Doug Smith,Citizens for Doug Smith,107,3
103870825945813,Bellamy Brown for Delegate,Bellamy Brown for Delegate,107,4
105179241498166,Canadian North Resources Inc,These ads ran without a disclaimer,107,2
109424492105249,Jason Kuter Mendon Select Board Candidate,Jason Kuter Mendon Select Board Candidate,107,10
113739075046247,Barbara Lincoln for GM School Board,Lincoln For Gm,107,1
102351729118268,Simple Savings Today,These ads ran without a disclaimer,107,10
429948154039607,"Heather R. Hayes & Associates, Inc",These ads ran without a disclaimer,107,1
124955493832800,Jennings For Town Council,Jennings For Town Council,107,3
164705640251416,Citizens First Congress,Citizens First Congress,107,4
107461912052722,Verite News,These ads ran without a disclaimer,107,16
126274973723342,Health Compare Gate,These ads ran without a disclaimer,107,8
104453779163227,Wanda for Sheriff,These ads ran without a disclaimer,107,1
140210012678380,Hoag Health,These ads ran without a disclaimer,107,4
18709174006,National Audubon Society,These ads ran without a disclaimer,106,6
102426519271664,Free Easy Search,These ads ran without a disclaimer,106,1
157219894855724,Re-Elect Judge Paul Malchesky,Committee to Elect Malchesky for Judge,106,2
106705804357319,Bluetti Global,These ads ran without a disclaimer,106,3
102601632818916,MAGA Tioga County,M Rocco Lucente,106,2
111213101887148,Basics For All,Basics For All LLC,106,5
105258282566926,Matt Hennessy - Democrat for Hartford Treasurer,Hennessy for Hartford,106,7
160008367347762,Bay Area Rescue Mission,BAY AREA RESCUE MISSION,106,11
107113232256857,Catherine Johnson for Lincoln-Way D210 School Board,Catherine Johnson for Lincoln-Way D210 School Board,106,5
106129995185665,Investing Daily,These ads ran without a disclaimer,106,14
100516236238076,Larry Scott for Burleson City Council Place 4,Campaign for Larry Scott,106,2
185681921833636,Easterseals Midwest,These ads ran without a disclaimer,106,1
1410642972503933,Empower,These ads ran without a disclaimer,106,1
173110322713449,Hunter Communications,These ads ran without a disclaimer,106,3
104037019288164,Yes on Issue 8 Elyria,Elyrians First Committee,106,5
103313141063508,The Welcome Party,The Welcome Party,106,2
113259557061181,ChildLife Foundation America Inc,These ads ran without a disclaimer,105,10
105889739108143,The French Perspective,The French Perspective,105,2
127031794038958,Blue Marine Foundation,These ads ran without a disclaimer,105,12
124249383207,Ross University School of Medicine,These ads ran without a disclaimer,105,3
328724140554664,UW Medicine,These ads ran without a disclaimer,105,6
2238793973101135,Leonardo Ferraz,These ads ran without a disclaimer,105,10
258012354252280,Informing Christians,Debra J M Smith,105,6
111127791935344,Project RISE,Project RISE,105,2
294293394047281,Vote for Verga.,Vote for Verga.,105,3
178424328854583,The Waukesha Freeman,CONLEY PUBLISHING GROUP,105,3
117619701245113,Jonathan Powers,Jonathan Powers,105,2
23240257953,ACS CAN Illinois,AMERICAN CANCER SOCIETY CANCER ACTION NETWORK INC,105,1
868006153350258,Concerned Veterans for America - Montana,Concerned Veterans for America,105,2
101633062676642,Snohomish County Auditor's Office,Snohomish County Auditor's Office,105,1
116722284623564,Melonie Bahr Monson Campaign,Melonie Bahr Monson Campaign,105,2
100371346380993,Citizens for Justice Mary Lane Mikva,CITIZENS FOR JUSTICE MARY LANE MIKVA,105,1
116422298064699,Team UP for Education,Team UP for Education,105,4
123323833895,"Chris Johnson, writer & humorist",Kudzu Kid Press,105,16
287939431886940,Mo Nehad For Fort Bend County Sheriff,M. Nehad Campaign,105,6
253429748021318,New York State AFL-CIO,New York State AFL-CIO,105,4
104168095956086,"Renee Kelly for Alderman, District 13 Racine",Renee Kelly,105,4
100784456028295,American Ukrainian Aid Foundation,American Ukrainian Aid Foundation,105,1
381079851959941,North Dakota District 24 Democrats,District 24 - North Dakota Democratic-NPL Party,105,2
100879472928055,Heinbaugh for Register & Recorder,Heinbaugh for Register & Recorder,105,6
101225162907080,GrowingSmall.biz,These ads ran without a disclaimer,105,3
753777097992228,Liberty Hill Publishing,Liberty Hill Publishing,104,3
56325507115,Beemster,These ads ran without a disclaimer,104,3
103038356062528,Diego Hoic for Summit Council - Ward 1,Hoic for Summit,104,6
80791482166,Points of Light,These ads ran without a disclaimer,104,3
115508118081733,Dwyer for Warwick Supervisor,Dwyer for Warwick Town Supervisor,104,4
104674114460748,Rapides Parish Citizens In Action,These ads ran without a disclaimer,104,1
111906855136164,Roadmap to the Future for Yolo County Children and Youth,These ads ran without a disclaimer,104,1
103178682244160,Enhance Health,These ads ran without a disclaimer,104,5
146039835989629,Williams For OPPD,Friends of Eric Williams,104,2
101880614727765,Alcohol Free Lifestyle,These ads ran without a disclaimer,104,1
114935714850578,Elliff and Day for Glen Carbon Library,Elliff and Day for Glen Carbon Library,104,7
108365725550559,Ryan Markey for Orange County School Board,Ryan Markey for Orange County School Board,104,10
135014803201084,Safe Journeys/ADV & SAS,These ads ran without a disclaimer,104,2
1998294390475465,Dr. Israel Aguilar,Israel Aguilar,104,4
1501952456537792,County of Sonoma Energy and Sustainability,These ads ran without a disclaimer,104,2
143656653717,Humane PA PAC,Humane PA,104,7
256521221031254,Spokane River Forum,These ads ran without a disclaimer,104,5
402835156579689,Scott Coleman for Collin College Board,These ads ran without a disclaimer,104,1
211255328923576,Wisconsin State Representative Robin Vos,Office of Wisconsin State Representative Robin Vos,104,2
1787129038250907,Cascade County Libertarian Party,Anthony Raymond Rosales,103,2
741880229535624,Help an Animal In Need,These ads ran without a disclaimer,103,38
100259229082893,The Baltimore Banner,These ads ran without a disclaimer,103,2
336765184920,Matthew Dowling,Friends of Matthew Dowling,103,6
113205131621824,WorldOrder.News,WorldOrder.News,103,12
8732630162,Global Grind,These ads ran without a disclaimer,103,4
111554723771940,"Rick Bradford - Argyle Town Council, Place 5 and Mayor-Elect","Rick Bradford - Argyle Town Council, Place 5 and Mayor-Elect",103,2
1489203811355614,Roots Valley - Raising Sustainable Kids,These ads ran without a disclaimer,103,2
386436828190432,The Newsette,These ads ran without a disclaimer,103,1
101495782090286,Noah Webster Educational Foundation,Noah Webster Educational Foundation,103,14
113256559341687,American Assitance Today,These ads ran without a disclaimer,103,3
104469864977050,Commissioner Ted Terry,Office of DeKalb Super District 6 Commissioner Ted Terry,103,1
375543739837794,"Shielding Lives, Inc.",Shielding Lives Inc,103,1
103054306016895,Gabby Rothman for St. Lucie County Tax Collector,Gabby Rothman for St Lucie County Tax Collector,103,3
101076502884668,Val Hoyle,Congresswoman Val Hoyle,102,4
21813808850,American Battlefield Trust,These ads ran without a disclaimer,102,2
131159566895612,Rethink Runoff Stream Team,CHITTENDEN COUNTY  REGIONAL PLANNING COMMISSION,102,3
1506719039596258,Relais & Châteaux,These ads ran without a disclaimer,102,1
76523801829,the Christian Century,CHRISTIAN CENTURY,102,4
339361516111101,My Chosen Vessels - MCV,These ads ran without a disclaimer,102,7
1718457131713522,Bryce Fehrenbacher for Olney City Council,Bryce P Fehrenbacher,102,2
226595170793964,Tucson Parks and Recreation,City of Tucson,102,5
100970962918627,MAIE Los Angeles,MARCO BALDOCCHI GROUP INC.,102,1
1661332784149884,Willie Ng,WILLIE FOR TEXAS,102,4
105322605809117,Nicole for BLP Schools,These ads ran without a disclaimer,102,3
763814860371698,The Arc of California,These ads ran without a disclaimer,102,2
103058019394072,Steinhauer for Rosholt School Board,Angela Marie Steinhauer,102,9
1584847481824638,Nexus-Gerard Family Healing,NEXUS,102,2
122728657388991,Paula Linhares for School Committee,Paula Linhares for School Committee,101,3
116981568944452,Knowledge Bucket,These ads ran without a disclaimer,101,29
105280684938489,KnowledgeVerse,These ads ran without a disclaimer,101,22
107220294580454,"Re-Elect Jael Currie, Madison Common Council, District 16",Friends of Jael,101,8
100429930002079,ARRM,ARRM,101,2
1422313304490122,Madison Democratic Committee,Madison Democratic Committee,101,3
107439427661844,Accountable Tech,These ads ran without a disclaimer,101,2
105683295780371,Carol Collins for District Judge,The Committee to Elect Carol Collins,101,2
165405820202592,North Fayette Supervisor Bob Doddato,Friends of Bob Doddato,101,4
109910955394246,JC Trujillo for Mayor,JC for Socorro Mayor,101,6
101924024700616,36% For All,SC Fair Lending Alliance,≤100,8
351969895378,NAFCU - National Association of Federally-Insured Credit Unions,NAFCU,≤100,2
147579322114846,Chehardy Sherman Williams,"CHEHARDY, SHERMAN, ELLIS, MURRAY, RECILE, GRIFFITH STAKBLUM, & HAYES LLP",≤100,1
913201805464192,Save Family Farming,Save Family Farming,≤100,2
115197124918457,Sugerc,These ads ran without a disclaimer,≤100,1
119070539496997,T. Scarano's Political Page,Thomas J Scarano,≤100,10
103473465333837,Indiana Freedom,Indiana Freedom Education Fund,≤100,1
1171518826261331,Auburn Community Hospital,These ads ran without a disclaimer,≤100,1
147074598789837,"Legal Aid Society of Palm Beach County, Inc.","LEGAL AID SOCIETY OF PALM BEACH COUNTY, INC",≤100,8
100607179026941,Of Thee I Sing 1776,Of Thee I Sing 1776,≤100,2
543055672532190,ConnecticutEast,Brian Scott-Smith - Broadcaster,≤100,2
101546129558333,Kaleigh Adams for School Committee,Kaleigh Adams for School Committee,≤100,7
116275138031307,Mid-Moraine Municipal Association,Mid-Moraine Municipal Association,≤100,1
101672329381420,Northeast Wisconsin Patriots,Diane Carol Bast,≤100,2
103088899282073,Kentucky Lantern,States Newsroom,≤100,3
2037705156252029,State Representative Bryan Shupe,"Delaware State House of Representatives, Republican Caucus",≤100,2
128407097202162,Advocates for Children of New Jersey,ADVOCATES FOR CHILDREN OF,≤100,1
118803731114110,Judge Jennifer Barron Campaign,Citizens for Judge Jennifer Barron,≤100,1
1464390790449285,Benton County Republicans,Benton County Republican Central Committee,≤100,2
34302252032,End Domestic Abuse Wisconsin,End Domestic Abuse Wisconsin,≤100,1
655583801724891,Rank the Vote Ohio,Rank the Vote Ohio,≤100,1
148986908467639,The Bert Show,These ads ran without a disclaimer,≤100,1
106779277552703,"Dynette A. Davis, Frisco ISD Trustee",Dynette A. Davis for Frisco ISD Campaign,≤100,1
490573694303533,Women's Clinic,Women's Clinic,≤100,1
108291098826275,Elect Mike Arians - Mayor,Elect Mike Arians - Mayor,≤100,3
161714690523234,City of Providence,City of Providence,≤100,1
101406936576054,NC Stop Human Trafficking,EASTERN NC STOP HUMAN TRAFFICKING,≤100,3
102685389434609,Gregg Eberhardt for Elmbrook Schools,Gregg Eberhardt for Elmbrook Schools,≤100,6
111014948595514,Cedar Valley Concerned Citizens,Cedar Valley Concerned Citizens,≤100,1
552620208132666,Public Water Now,Public Water Now,≤100,1
486304218239495,Bill Couzens,These ads ran without a disclaimer,≤100,1
186240945155660,East New York News,These ads ran without a disclaimer,≤100,2
1737720532927750,Collier County Democratic Party,Collier County Democratic Executive Committee,≤100,1
77688551860,Puffin Cultural Forum,PUFFIN FOUNDATION,≤100,2
116878879696071,Caroline Gilbert Rankin County Tax Collector,Caroline Gilbert Rankin County Tax Collector,≤100,2
105698232241346,Americans Wake Up,Americans Wake Up Inc,≤100,1
104763894906181,Friends of Joseph Patrick Murphy,Friends of Joseph Patrick Murphy,≤100,1
111160625114619,Semi Bird For Governor Of Washington,Semi Bird For Governor Of Washington,≤100,1
222797534462862,Peter Boghossian,National Progress Alliance,≤100,1
111313218602464,Mary Sevandal Cohen for Judge,CITIZENS FOR MARY SEVANDAL COHEN,≤100,2
1656403107757831,Jose for Red Clay,Friends of Jose Matthews,≤100,3
113580465338014,MetroHealth,These ads ran without a disclaimer,≤100,1
105395165803010,Alaska Senate Minority,Shelley Hughes,≤100,1
441486785927918,Mid-Valley Health Care Advocates,MID VALLEY HEALTH CARE ADVOCATES,≤100,2
1233341320084881,Dolton School District 149,"David Ormsby, Inc.",≤100,2
116673957994994,Kellee Hennessy Dickerson for State Representative,Kellee Hennessy Dickerson for State Representative,≤100,2
122953621908,Skagit Public Utility District,Skagit Public Utility District,≤100,1
105044391101138,Casey Garrett Columbia County Commissioner,Casey for Commissioner,≤100,1
118133441589278,Southern Calvert Baptist Church,These ads ran without a disclaimer,≤100,1
119818274381896,"John Dunmyer, III For Mayor","John Dunmyer, III For Mayor",≤100,3
164359860241334,Wayne County PA Republican Committee,Bailey Design and Advertising,≤100,1
1581982312073366,Ares Law Group,Search Owls,≤100,1
171450819591883,Alderman José Pérez,Friends of José Pérez,≤100,1
144861492224700,Saint Louis Public Schools,Saint Louis Public Schools,≤100,1
536981482988813,Alan C. Olson & Associates,These ads ran without a disclaimer,≤100,2
105023768642,U.S. Chamber Institute for Legal Reform,US Chamber Institute for Legal Reform,≤100,1
398885846862737,Senator Shelley Hughes,Shelley Hughes,≤100,1
152127788870765,NowKalamazoo,NowKalamazoo,≤100,1
311102769579407,Frio Regional Hospital,These ads ran without a disclaimer,≤100,1
491610027565141,Phil Skaggs,Committee to Elect Phil Skaggs,≤100,2
1448221925404995,Hutchinson Regional Healthcare System,These ads ran without a disclaimer,≤100,1
701108420285431,State Representative Jamie Long,Jamie Long,≤100,1
169886469733710,City of Homestead Government,City of Homestead,≤100,2
1951010831847963,Connecticut Council of Family Service Agencies,These ads ran without a disclaimer,≤100,1
112149703984962,Joseph R. Castille for Tanglewood Forest Limited District,Joseph Robert Castille,≤100,1
304874537488011,Florida Veterans for Political Innovation,Steven Lee Hough,≤100,1
33075474702,The Daily Record,These ads ran without a disclaimer,≤100,1
110746492017450,Shawn Peck Libertarian LD2 Candidate,These ads ran without a disclaimer,≤100,1
116991371308139,"Maddie Smith for Stephenville City Council, Place 5","Maddie Smith for Stephenville City Council, Place 5",≤100,2
103038462678430,Ricardo Montoya Picazo for Rock Valley College Trustee,Citizens for Ricardo Montoya Picazo,≤100,1
640793209334116,City of Fort Collins Utilities,Fort Collins Utilities,≤100,1
104886844954562,Nathan for Liberty,Nathan Robert Polsky,≤100,1
349702751902673,Hereditary Angioedema Association - HAEA,HEREDITARY ANGIOEDEMA ASSOCIATION INC.,≤100,1
234089427159770,Kirk Cullimore,Friends of Kirk Cullimore,≤100,1
27591534505,SPIRIT 105.3,CRISTA Media,≤100,1
1951010831847963,Connecticut Council of Family Service Agencies,Connecticut Council of Family Service Agencies,≤100,1
238612049887573,SchoolHouse Connection,SCHOOLHOUSE CONNECTION LLC,≤100,1
104275165508177,Into The Norm,These ads ran without a disclaimer,≤100,1
112055052160971,Sumner County Democratic Party,Sumner County Democratic Party,≤100,1
104445587907517,Representative Laurel Libby,Laurel D Libby,≤100,1
524540921060014,Madison Community Policing Foundation,MADISON COMMUNITY POLICING FOUNDATION INC,≤100,1
342420020619,Silver Strong & Associates | Thoughtful Education Press,These ads ran without a disclaimer,≤100,1
411747265558982,Rhino Times,SNAP Publications,≤100,2
109664420557196,Scott Conklin,Friends of Scott Conklin,≤100,1
264417217746664,Nassau County GOP,Nassau County Republican Committee,≤100,1
383637542451520,South Florida Water Coalition,"South Florida Water Coaltion, Inc",≤100,1
117696724550690,Nicole Rosella for District Judge,Nicole Rosella for District Judge,≤100,2
146678415405673,FindLaw for Legal Professionals,FindLaw Legal Professionals,≤100,1
1688926411234632,"Jason Shachner, Ward 2 Councilmember",Friends of Jason Shachner,≤100,2
1668981620089031,Councilmember Mark Freeman,City of Mesa,≤100,1
484151914939564,SCB Video TV Marketing,These ads ran without a disclaimer,≤100,1
109442854159355,Radical Registrars,Radical Registrars,≤100,1
590692614384959,Justin Centanni for Lafayette Parish Assessor,Justin Centanni for Lafayette Parish Assessor,≤100,1
312309002981188,Chance Henry for State Representative,Chance Henry for State Representative,≤100,1
1824853407595510,Santa Fe Spanish Traditions and Heritage,Eli J. Bransford,≤100,1
909371242735626,Conservative Candidate Caucus PAC,"CARL4CONGRESS, LLC",≤100,1
1014664075269537,Jenny McAdams- Former City of Pacific Grove Councilmember,Jennifer Sy Mcadams,≤100,1
670374883008378,Allisonville Meadows Assisted Living,"AMERICAN SENIOR COMMUNITIES, L.L.C.",≤100,1
133294620046953,Mission India,MISSION INDIA INC,≤100,1
249398225453780,Michael Thomson GAPS School Board Member,Thomson For Gaps,≤100,1
1527426737363141,Peter Petrigno - NH State Representative,Peter Petrigno,≤100,2
105074234798307,Smokefree Casinos,AMERICANS FOR NONSMOKERS' RIGHTS,≤100,1
664206650315413,"Eric J. Weaknecht, Berks County Sheriff","Eric J. Weaknecht, Berks County Sheriff",≤100,2
321010251265264,Rep. John Bell,John Bell Committee,≤100,1
131646195062,Maryland Hospital Association,These ads ran without a disclaimer,≤100,1
114638563842,Mitchell Republic,Forum Communications,≤100,1
112607934991452,Rep. Tim Brennan,Robert William Caton,≤100,2
100950704816839,Re-Elect Brian Seitz for MO State Rep.,Seitz Conservative Coalition,≤100,1
1572443212974534,The Killeen Chair of Theology & Philosophy Lecture Series,Killeen Chair of Theology and Philosophy at St. Norbert College,≤100,1
89660729827,National Wildlife Federation Action Fund,NATIONAL WILDLIFE FEDERATION ACTION FUND,≤100,1
111840507067847,Velda for Mayor,Velda for Mayor,≤100,2
180077875872766,Vice Mayor Francisco Heredia,City of Mesa,≤100,1
195768783799478,Univista Insurance,UNIVISTA INSURANCE LLC,≤100,1
172693507119,Randle Communications,Randle Communications,≤100,1
973443299444339,Salem Can Do Better,Salem Can Do Better,≤100,1
106324634554373,Northern Cameron County Democrats,Northern Cameron County Democrats,≤100,1
221013111253434,Team Kazmark,Team Kazmark,≤100,2
106252571410266,NJ Public Health Innovation PAC,NJ Public Health Innovation PAC,≤100,1
1381639055238172,Hippie and a Veteran,These ads ran without a disclaimer,≤100,2
347157509041459,Bexar County Child Welfare Board,Bexar County Child Welfare Board,≤100,1
121373589211,South Valley Chamber,SANDY AREA CHAMBER OF COMMERCE,≤100,2
984228501766229,Congressman Sean Casten,U.S. House of Representatives,≤100,1
106419585633947,The Constitutional Republic Party,THE CONSTITUTIONAL REPUBLIC PARTY,≤100,1
130669962978,Propane Missouri,These ads ran without a disclaimer,≤100,1
159795084158998,Anchorage Young Republicans,Anchorage Young Republicans,≤100,2
108072173995375,End MSOP,End MSOP,≤100,2
323230861630608,"Peter Gordon, Hutto City Council Place 4",Peter Gordon,≤100,2
101014596224319,Representative Larry Kraft,Larry Kraft,≤100,1
490457051085913,Everyone Deserves a Great Education,Debra Jurgel Chafee,≤100,1
100257745929790,Justice Center of Rensselaer County,JUSTICE CENTER OF RENSSELAER COUNTY INCORPORATED,≤100,1
98770677047,LawInfo.com,LawInfo,≤100,1
109103038817361,Nick Homrighausen For Mayor,Committee to Elect Homrighausen Mayor,≤100,2
103964564315855,NYS Assemblymember George Alvarez,Friends of George Alvarez,≤100,2
20591103801,Immunize Nevada,IMMUNIZE NEVADA,≤100,1
6808755897,Governing,e.Republic,≤100,4
107701611473972,Alonzo Perry For West Virginia,Alonzo Wright Ii Perry,≤100,1
86719987862,City of Gulfport - Mayor's Office,City of Gulfport,≤100,1
115018634874428,"Reelect Kris Lachenmeier, Tillamook School Board Position 4","Reelect Kris Lachenmeier, Tillamook School Board Position 4",≤100,1
128865150120425,Michael Farris for Bossier Police Jury District 1,Michael Farris for Police Jury,≤100,1
101464412533071,Mike Cabell for State Representative,Michael F Cabell,≤100,1
118469441538686,Resources Unite,These ads ran without a disclaimer,≤100,1
102479132798621,Rebecca Hermosillo for Supervisor,Hermosillo for Supervisor 2024,≤100,1
102687738251446,Good Filling,Good Filling,≤100,1
620945344668031,Michael Dacquisto for Redding City Council,Michael Paul Dacquisto Ii,≤100,2
102419958039684,Danny Robins Volusia County,"Danny Robins for County Council, District 3",≤100,2
107220228531536,Caryn Abbott For Worcester County Commissioner District 1,Citizens for Caryn Abbott,≤100,1
114762571526659,Jason Bergeron for Terrebonne Parish President,Jason Bergeron Campaign,≤100,1
101183946625264,Goya Foods,These ads ran without a disclaimer,≤100,2
383932801071,ACLU of Kentucky,"AMERICAN CIVIL LIBERTIES UNION OF KENTUCKY, INC",≤100,1
401832509892217,Northwest CHC,These ads ran without a disclaimer,≤100,1
103548685970305,Ricky Caldwell - for MS State Senate 9,Friends of Ricky Caldwell for Senate 9,≤100,1
103670251396143,ttrissl,These ads ran without a disclaimer,≤100,1
354329797956187,The Catholic Association,"The Catholic Association, Inc",≤100,2
101259972884189,Shane Mack - State Representative,Shane Mack - State Representative,≤100,1
567126383373960,New York State Animal Protection Federation,New York State Animal Protection Federation,≤100,1
106095898611,Seton Home Study School,These ads ran without a disclaimer,≤100,1
107311582217833,Rep. Jim Haddock,Robert William Caton,≤100,2
118052555397,Trinity Church Wall Street,Trinity Church Wall Street,≤100,4
102297535056319,AZ Free News,Arizona Freedom Foundation,≤100,2
111004586952707,Elevate Prize Foundation,Elevate Prize Foundation Inc,≤100,1
174642946003803,Wisconsin Disability Vote Coalition,Promote Local,≤100,1
122453784481824,Common Conversations,F5 Enterprises LLC / Common Convo,≤100,1
687561794592331,NIA House Montessori School,These ads ran without a disclaimer,≤100,1
175647186421524,Team ENOUGH,Team ENOUGH,≤100,1
309303555783693,James Storehouse California,These ads ran without a disclaimer,≤100,1
106011595412004,Illinois Family Planning Centers,These ads ran without a disclaimer,≤100,1
96895859870,Logitech G,These ads ran without a disclaimer,≤100,1
1378387609066365,Adam Levin,These ads ran without a disclaimer,≤100,1
6239388420,Arbor Day Foundation,These ads ran without a disclaimer,≤100,1
144774322208562,SAVE,SAVE Inc.,≤100,3
125180520850373,Dallas Regional Chamber,Dallas Regional Chamber,≤100,1
780306148672830,Breaux Bridge Police Department,Breaux Bridge Police Deparment,≤100,1
195084063983529,Palestine Advocacy Project,Palestine Advocacy Project,≤100,1
106832257527621,Bryan Parra - Grand Prairie ISD Trustee Place 2,Bryan Parra - Grand Prairie ISD Trustee Place 2,≤100,3
101625636163130,Certa for EJ,Certa for EJ,≤100,5
191371171409,Southern Group of State Foresters,Southern Group of State Foresters,≤100,2
1987574887968061,Biker Life Port Charlotte,"Biker Life, LLC",≤100,2
103093676076316,Boyd for Supervisor,Friends of Gordon Boyd,≤100,1
109646471910247,Rep. Tarik Khan,Robert William Caton,≤100,2
115872354744477,Megan Wallace for Collin College Board of Trustees,Megan Wallace for Collin College Board of Trustees,≤100,1
302401063746349,Karyn Smith for Normal Town Council,Karyn for Normal,≤100,3
283877468955275,Kendall Brown for Conway City Council,Kendall Quantrel Brown,≤100,4
108899425468498,New Life Discovery Project,NEW LIFE DISCOVERY PROJECT INC,≤100,2
106698942278853,Rep. Lisa Borowski,Robert William Caton,≤100,1
111259726985103,Blind City The Podcast,Langford Cunningham,≤100,1
388087908197358,Sonoma County District Attorney's Office,"SONOMA, COUNTY OF",≤100,1
53408603926,Brian Pettyjohn,Friends for Brian Pettyjohn,≤100,1
113188958692264,Friends of Branford Republicans,Branford Republican Town Committee (RTC),≤100,1
108212025165503,West Bennett For Fall Creek,West Bennett For Fall Creek,≤100,1
226345187916007,Mayor Bobby Dyer,The Dyer Difference,≤100,1
101875949317399,East Hidalgo County Community Organization Inc.,East Hidalgo County Community Organization Inc. EHCCO,≤100,1
194169763964578,Mad River Committee for Good Schools,Mad River Committee for Good Schools,≤100,3
312988925453222,Elect Baron Vanderburg for Palmer Township Supervisor,Baron Lamar Jared Vanderburg,≤100,3
112273251707361,The Pelican Brief Podcast,TATMAN GROUP LLC,≤100,1
129350090436060,Papillion La Vista Community Schools,PAPILLION LAVISTA PUBLIC SCHOOLS,≤100,1
438017042887970,Andy Ruff for Bloomington City Council,Andy Ruff for Bloomington City Council,≤100,1
16072035449,Charter Oak Cultural Center,Jacques Charles Lamarre,≤100,2
106095601125529,"Reaching Everyone In Distress Foundation, Inc.",Reaching Everyone in Distress Foundation Inc.,≤100,26
108618114967769,Odessans for Ethical Leadership - OEL,ODESSANS FOR ETHICAL LEADERSHIP,≤100,1
104583209199676,letstalkaboutitthebook,Desiree Carpenter,≤100,2
64830732933,Speaker Todd Gilbert,GILBERT FOR DELEGATE,≤100,1
104379191692353,Impremis Marketing,These ads ran without a disclaimer,≤100,2
144222945739223,South Carolina Association for Justice,SOUTH CAROLINA ASSOCIATION FOR JUSTICE,≤100,1
392009390880702,Wheel Jam Truck Show,These ads ran without a disclaimer,≤100,1
922128534509284,"Shona Sowell, Former Frisco City Council","Shona Sowell, Former Frisco City Council",≤100,1
107893108967364,TJ Babcock for Watertown City Council,Timothy James Babcock,≤100,2
285017061510900,The Ants and the Grasshopper,Generation Food,≤100,1
427407450940443,Elect Rick Gieser,Richard Charles Gieser,≤100,1
387576895206928,Marsoc's K-9 Training Facility,These ads ran without a disclaimer,≤100,1
101941175809579,Marcus Henry for County Executive,Marcus Henry for New Castle County Executive,≤100,1
111364475224257,"Gaelan Baillie for Niagara County Legislature, District 6",Gaelan James Baillie,≤100,2
113858277463785,Argonaut,These ads ran without a disclaimer,≤100,1
104579899232631,Johnescu - York City Council,Johnescu - York City Council,≤100,1
117370731229396,Senator Sue Shink,Senator Sue Shink,≤100,1
178826132150576,Representative Tyler August,The Office of Wisconsin State Representative Tyler August,≤100,2
301980496489999,Seven Mountains Central Labor Council,Seven Mountains Central Labor Council,≤100,9
1294962097246589,Jayme Muenz for St. Charles City Council Ward 2,Jayme Joy Muenz,≤100,3
917670208253265,City of Birmingham Government,The City of Birmingham,≤100,1
179336982603018,Stranger Than Life,These ads ran without a disclaimer,≤100,10
557523828087852,Marina for Milwaukee,Marina for Milwaukee,≤100,2
111736465197583,James T. Croley II for Minersville School Board,James T. Croley II for Minersville School Board,≤100,1
111188918608010,Lance Knotts for Precinct 3 Commissioner,Lance Knotts for Precinct 3 Commissioner,≤100,1
132325588489,National Disability Institute,These ads ran without a disclaimer,≤100,1
109914151836999,Ronnie Saenz for Cameron County Sheriff,Ronnie Saenz for Cameron County Sheriff,≤100,1
104966605818589,Ross Bradley for Mayor - Coal City,Timothy J Bradley,≤100,9
761832453834971,League of Independent Voters of Texas,LEAGUE OF INDEPENDENT VOTERS OF TEXAS,≤100,5
109877958577300,Weekly Investing Digest,These ads ran without a disclaimer,≤100,10
110696318611709,HyperHive,These ads ran without a disclaimer,≤100,1
2184356211626595,The Daily Homeschooler,The Daily Homeschooler,≤100,1
503618656693634,Senator George Borrello,Borrello for Senate,≤100,2
111327261380132,Healthlincs,These ads ran without a disclaimer,≤100,1
102818976034701,Robert Graham for Mableton City Council,Robert Graham for Mableton City Council,≤100,9
108979512454472,Vinny's Deli,These ads ran without a disclaimer,≤100,1
99056648937,NIAC,NIAC Action,≤100,1
